"t","smMHz","memMHz","powerW","tempC","utilPct","swPowerCap","hwSlowdown","hwThermal","swThermal","hwPowerBrake"
"8.38","2385","9601","124.88","59","100","Active","Not Active","Not Active","Not Active","Not Active"
"8.7","2385","9601","125.01","60","100","Active","Not Active","Not Active","Not Active","Not Active"
"9.01","2325","9601","124.8","60","100","Active","Not Active","Not Active","Not Active","Not Active"
"9.33","2325","9601","124.83","60","100","Active","Not Active","Not Active","Not Active","Not Active"
"9.69","2340","9601","125.17","60","100","Active","Not Active","Not Active","Not Active","Not Active"
"10","2310","9601","124.81","60","100","Active","Not Active","Not Active","Not Active","Not Active"
"10.31","2355","9601","124.83","60","100","Active","Not Active","Not Active","Not Active","Not Active"
"10.63","2355","9601","125","61","100","Active","Not Active","Not Active","Not Active","Not Active"
"10.94","2340","9601","124.73","61","100","Active","Not Active","Not Active","Not Active","Not Active"
"11.26","2325","9601","124.79","60","100","Active","Not Active","Not Active","Not Active","Not Active"
"11.59","2355","9601","125.06","60","100","Active","Not Active","Not Active","Not Active","Not Active"
"11.9","2310","9601","124.95","61","100","Active","Not Active","Not Active","Not Active","Not Active"
"12.23","2310","9601","124.89","61","100","Active","Not Active","Not Active","Not Active","Not Active"
"12.54","2340","9601","125.09","61","100","Active","Not Active","Not Active","Not Active","Not Active"
"12.88","2325","9601","124.94","61","100","Active","Not Active","Not Active","Not Active","Not Active"
"13.21","2325","9601","124.82","61","99","Active","Not Active","Not Active","Not Active","Not Active"
"13.53","2340","9601","124.96","61","100","Active","Not Active","Not Active","Not Active","Not Active"
"13.86","2325","9601","124.92","61","100","Active","Not Active","Not Active","Not Active","Not Active"
"14.17","2325","9601","124.92","61","100","Active","Not Active","Not Active","Not Active","Not Active"
"14.51","2325","9601","124.95","61","100","Active","Not Active","Not Active","Not Active","Not Active"
"14.84","2325","9601","125.08","61","100","Active","Not Active","Not Active","Not Active","Not Active"
"15.16","2325","9601","124.8","62","100","Active","Not Active","Not Active","Not Active","Not Active"
"15.48","2340","9601","125.03","62","100","Active","Not Active","Not Active","Not Active","Not Active"
"15.82","2565","9601","125.06","63","100","Active","Not Active","Not Active","Not Active","Not Active"
"16.13","2325","9601","124.87","63","100","Active","Not Active","Not Active","Not Active","Not Active"
"16.45","2325","9601","124.99","62","100","Active","Not Active","Not Active","Not Active","Not Active"
"16.77","2340","9601","124.8","62","100","Active","Not Active","Not Active","Not Active","Not Active"
"17.09","2370","9601","124.13","62","92","Active","Not Active","Not Active","Not Active","Not Active"
"17.4","2355","9601","124.68","62","100","Active","Not Active","Not Active","Not Active","Not Active"
"17.73","2310","9601","124.87","62","100","Active","Not Active","Not Active","Not Active","Not Active"
"18.06","2325","9601","125.86","62","100","Active","Not Active","Not Active","Not Active","Not Active"
"18.37","2325","9601","125.18","63","100","Active","Not Active","Not Active","Not Active","Not Active"
"18.69","2310","9601","125.02","63","100","Active","Not Active","Not Active","Not Active","Not Active"
"19.01","2355","9601","124.53","62","100","Active","Not Active","Not Active","Not Active","Not Active"
"19.32","2340","9601","125.08","62","100","Active","Not Active","Not Active","Not Active","Not Active"
"19.67","2295","9601","124.94","63","100","Active","Not Active","Not Active","Not Active","Not Active"
"19.97","2325","9601","124.57","63","100","Active","Not Active","Not Active","Not Active","Not Active"
"20.29","2340","9601","125.09","63","100","Active","Not Active","Not Active","Not Active","Not Active"
"20.6","2310","9601","124.98","63","100","Active","Not Active","Not Active","Not Active","Not Active"
"20.91","2310","9601","124.55","63","100","Active","Not Active","Not Active","Not Active","Not Active"
"21.23","2355","9601","125.27","63","100","Active","Not Active","Not Active","Not Active","Not Active"
"21.54","2310","9601","125.46","63","100","Active","Not Active","Not Active","Not Active","Not Active"
"21.87","2280","9601","125.17","63","100","Active","Not Active","Not Active","Not Active","Not Active"
"22.2","2355","9601","125.23","64","100","Active","Not Active","Not Active","Not Active","Not Active"
"22.52","2310","9601","125.1","64","100","Active","Not Active","Not Active","Not Active","Not Active"
"22.83","2310","9601","124.7","63","100","Active","Not Active","Not Active","Not Active","Not Active"
"23.14","2355","9601","125.22","63","100","Active","Not Active","Not Active","Not Active","Not Active"
"23.46","2310","9601","125","64","100","Active","Not Active","Not Active","Not Active","Not Active"
"23.77","2295","9601","124.78","64","100","Active","Not Active","Not Active","Not Active","Not Active"
"24.1","2310","9601","125.03","64","100","Active","Not Active","Not Active","Not Active","Not Active"
"24.42","2325","9601","125.2","64","100","Active","Not Active","Not Active","Not Active","Not Active"
"24.73","2295","9601","124.79","63","100","Active","Not Active","Not Active","Not Active","Not Active"
"25.09","2355","9601","123.68","63","91","Active","Not Active","Not Active","Not Active","Not Active"
"25.42","2310","9601","124.29","64","100","Active","Not Active","Not Active","Not Active","Not Active"
"25.77","2295","9601","123.92","64","100","Active","Not Active","Not Active","Not Active","Not Active"
"26.08","2325","9601","124","64","100","Active","Not Active","Not Active","Not Active","Not Active"
"26.4","2310","9601","125.24","64","100","Active","Not Active","Not Active","Not Active","Not Active"
"26.72","2310","9601","124.74","64","100","Active","Not Active","Not Active","Not Active","Not Active"
"27.07","2325","9601","124.92","64","100","Active","Not Active","Not Active","Not Active","Not Active"
"27.39","2355","9601","125.08","65","100","Active","Not Active","Not Active","Not Active","Not Active"
"27.69","2340","9601","124.71","65","100","Active","Not Active","Not Active","Not Active","Not Active"
"28.01","2355","9601","124.82","64","100","Active","Not Active","Not Active","Not Active","Not Active"
"28.32","2385","9601","124.96","64","100","Active","Not Active","Not Active","Not Active","Not Active"
"28.65","2340","9601","124.62","64","100","Active","Not Active","Not Active","Not Active","Not Active"
"28.97","2340","9601","124.77","65","100","Active","Not Active","Not Active","Not Active","Not Active"
"29.28","2385","9601","124.99","65","100","Active","Not Active","Not Active","Not Active","Not Active"
"29.59","2310","9601","124.66","65","100","Active","Not Active","Not Active","Not Active","Not Active"
"29.91","2325","9601","124.87","65","100","Active","Not Active","Not Active","Not Active","Not Active"
"30.21","2340","9601","124.89","65","100","Active","Not Active","Not Active","Not Active","Not Active"
"30.52","2325","9601","124.76","65","100","Active","Not Active","Not Active","Not Active","Not Active"
"30.83","2310","9601","124.6","64","100","Active","Not Active","Not Active","Not Active","Not Active"
"31.14","2340","9601","124.94","64","100","Active","Not Active","Not Active","Not Active","Not Active"
"31.45","2325","9601","124.84","65","100","Active","Not Active","Not Active","Not Active","Not Active"
"31.78","2310","9601","124.78","65","100","Active","Not Active","Not Active","Not Active","Not Active"
"32.1","2310","9601","124.89","65","100","Active","Not Active","Not Active","Not Active","Not Active"
"32.42","2295","9601","124.96","65","100","Active","Not Active","Not Active","Not Active","Not Active"
"32.73","2325","9601","124.88","65","100","Active","Not Active","Not Active","Not Active","Not Active"
"33.15","2340","9601","124.28","65","92","Active","Not Active","Not Active","Not Active","Not Active"
"33.46","2295","9601","124.7","65","100","Active","Not Active","Not Active","Not Active","Not Active"
"33.77","2280","9601","124.88","65","100","Active","Not Active","Not Active","Not Active","Not Active"
"34.09","2325","9601","124.49","65","100","Active","Not Active","Not Active","Not Active","Not Active"
"34.4","2310","9601","125.15","65","100","Active","Not Active","Not Active","Not Active","Not Active"
"34.71","2310","9601","124.94","66","100","Active","Not Active","Not Active","Not Active","Not Active"
"35.02","2310","9601","124.96","66","100","Active","Not Active","Not Active","Not Active","Not Active"
"35.36","2310","9601","125.07","66","100","Active","Not Active","Not Active","Not Active","Not Active"
"35.68","2385","9601","125.02","66","100","Active","Not Active","Not Active","Not Active","Not Active"
"36","2325","9601","124.82","66","100","Active","Not Active","Not Active","Not Active","Not Active"
"36.32","2310","9601","125.17","66","100","Active","Not Active","Not Active","Not Active","Not Active"
"36.65","2295","9601","124.95","66","100","Active","Not Active","Not Active","Not Active","Not Active"
"36.96","2310","9601","124.73","66","100","Active","Not Active","Not Active","Not Active","Not Active"
"37.28","2340","9601","124.11","66","90","Active","Not Active","Not Active","Not Active","Not Active"
"37.59","2280","9601","124.79","66","100","Active","Not Active","Not Active","Not Active","Not Active"
"37.9","2295","9601","124.86","66","100","Active","Not Active","Not Active","Not Active","Not Active"
"38.22","2340","9601","125.12","66","100","Active","Not Active","Not Active","Not Active","Not Active"
"38.55","2310","9601","125.1","66","100","Active","Not Active","Not Active","Not Active","Not Active"
"38.86","2310","9601","124.86","66","100","Active","Not Active","Not Active","Not Active","Not Active"
"39.18","2310","9601","124.71","66","100","Active","Not Active","Not Active","Not Active","Not Active"
"39.5","2310","9601","125.29","67","100","Active","Not Active","Not Active","Not Active","Not Active"
"39.81","2280","9601","125.03","67","100","Active","Not Active","Not Active","Not Active","Not Active"
"40.13","2325","9601","124.71","66","100","Active","Not Active","Not Active","Not Active","Not Active"
"40.45","2325","9601","125.26","66","100","Active","Not Active","Not Active","Not Active","Not Active"
"40.76","2280","9601","124.84","66","100","Active","Not Active","Not Active","Not Active","Not Active"
"41.08","2325","9601","124.5","66","100","Active","Not Active","Not Active","Not Active","Not Active"
"41.4","2355","9601","124.65","67","92","Active","Not Active","Not Active","Not Active","Not Active"
"41.7","2280","9601","124.76","67","100","Active","Not Active","Not Active","Not Active","Not Active"
"42","2265","9601","124.54","66","100","Active","Not Active","Not Active","Not Active","Not Active"
"42.32","2325","9601","125.37","66","100","Active","Not Active","Not Active","Not Active","Not Active"
"42.66","2295","9601","125.01","67","100","Active","Not Active","Not Active","Not Active","Not Active"
"42.98","2280","9601","124.6","66","100","Active","Not Active","Not Active","Not Active","Not Active"
"43.3","2325","9601","125.21","66","100","Active","Not Active","Not Active","Not Active","Not Active"
"43.62","2280","9601","125.15","67","100","Active","Not Active","Not Active","Not Active","Not Active"
"43.93","2280","9601","124.52","67","100","Active","Not Active","Not Active","Not Active","Not Active"
"44.25","2325","9601","125.22","67","100","Active","Not Active","Not Active","Not Active","Not Active"
"44.57","2310","9601","125.1","67","100","Active","Not Active","Not Active","Not Active","Not Active"
"44.88","2295","9601","124.61","67","100","Active","Not Active","Not Active","Not Active","Not Active"
"45.21","2370","9601","123.72","67","100","Active","Not Active","Not Active","Not Active","Not Active"
"45.52","2310","9601","124.62","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"45.85","2295","9601","124.82","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"46.15","2280","9601","124.46","67","100","Active","Not Active","Not Active","Not Active","Not Active"
"46.47","2310","9601","125.39","67","100","Active","Not Active","Not Active","Not Active","Not Active"
"46.78","2280","9601","124.96","67","100","Active","Not Active","Not Active","Not Active","Not Active"
"47.1","2280","9601","124.65","67","100","Active","Not Active","Not Active","Not Active","Not Active"
"47.4","2325","9601","125.22","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"47.71","2310","9601","125","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"48.02","2295","9601","124.51","67","100","Active","Not Active","Not Active","Not Active","Not Active"
"48.33","2325","9601","125.14","67","100","Active","Not Active","Not Active","Not Active","Not Active"
"48.64","2295","9601","125.05","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"48.96","2280","9601","124.65","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"49.28","2325","9601","124.3","68","91","Active","Not Active","Not Active","Not Active","Not Active"
"49.6","2310","9601","124.82","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"49.92","2280","9601","124.57","67","100","Active","Not Active","Not Active","Not Active","Not Active"
"50.25","2325","9601","124.67","67","100","Active","Not Active","Not Active","Not Active","Not Active"
"50.57","2295","9601","125.27","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"50.9","2325","9601","124.5","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"51.21","2325","9601","124.65","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"51.54","2325","9601","125.08","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"51.86","2295","9601","124.64","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"52.18","2340","9601","124.67","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"52.5","2325","9601","125.09","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"52.82","2280","9601","124.61","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"53.13","2295","9601","124.7","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"53.45","2340","9601","124.12","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"53.75","2295","9601","124.4","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"54.08","2265","9601","124.52","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"54.4","2310","9601","125.8","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"54.72","2280","9601","125.31","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"55.05","2265","9601","124.67","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"55.36","2325","9601","125.01","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"55.68","2280","9601","125.12","68","99","Active","Not Active","Not Active","Not Active","Not Active"
"56","2280","9601","124.48","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"56.32","2340","9601","124.52","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"56.64","2310","9601","125.07","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"56.97","2280","9601","124.63","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"57.3","2325","9601","123.36","68","91","Active","Not Active","Not Active","Not Active","Not Active"
"57.62","2310","9601","124.88","69","100","Active","Not Active","Not Active","Not Active","Not Active"
"57.92","2280","9601","124.62","69","100","Active","Not Active","Not Active","Not Active","Not Active"
"58.24","2280","9601","124.47","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"58.56","2340","9601","125.24","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"58.86","2280","9601","124.67","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"59.17","2280","9601","124.6","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"59.47","2325","9601","125.25","69","100","Active","Not Active","Not Active","Not Active","Not Active"
"59.78","2280","9601","124.81","69","100","Active","Not Active","Not Active","Not Active","Not Active"
"60.1","2280","9601","124.78","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"60.42","2310","9601","125.08","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"60.74","2280","9601","124.72","69","100","Active","Not Active","Not Active","Not Active","Not Active"
"61.05","2280","9601","124.75","68","100","Active","Not Active","Not Active","Not Active","Not Active"
"61.36","2325","9601","123.41","68","96","Active","Not Active","Not Active","Not Active","Not Active"
"61.67","2310","9601","124","69","100","Active","Not Active","Not Active","Not Active","Not Active"
"61.97","2280","9601","123.99","69","100","Active","Not Active","Not Active","Not Active","Not Active"
"62.28","2310","9601","123.59","69","100","Active","Not Active","Not Active","Not Active","Not Active"
"62.62","2295","9601","125.24","69","100","Active","Not Active","Not Active","Not Active","Not Active"
"62.93","2295","9601","124.7","69","100","Active","Not Active","Not Active","Not Active","Not Active"
"63.25","2280","9601","124.7","69","100","Active","Not Active","Not Active","Not Active","Not Active"
"63.55","2325","9601","125.31","69","100","Active","Not Active","Not Active","Not Active","Not Active"
"63.87","2280","9601","124.72","69","100","Active","Not Active","Not Active","Not Active","Not Active"
"64.18","2280","9601","124.67","69","100","Active","Not Active","Not Active","Not Active","Not Active"
"64.49","2325","9601","125.2","69","100","Active","Not Active","Not Active","Not Active","Not Active"
"64.8","2280","9601","124.87","69","100","Active","Not Active","Not Active","Not Active","Not Active"
"65.1","2280","9601","124.77","69","100","Active","Not Active","Not Active","Not Active","Not Active"
"65.41","2325","9601","124.37","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"65.73","2280","9601","124.73","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"66.05","2310","9601","124.74","69","100","Active","Not Active","Not Active","Not Active","Not Active"
"66.36","2325","9601","124.61","69","100","Active","Not Active","Not Active","Not Active","Not Active"
"66.67","2280","9601","125.16","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"67","2295","9601","124.77","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"67.31","2310","9601","124.6","69","100","Active","Not Active","Not Active","Not Active","Not Active"
"67.64","2280","9601","125.1","69","100","Active","Not Active","Not Active","Not Active","Not Active"
"67.95","2280","9601","124.72","69","100","Active","Not Active","Not Active","Not Active","Not Active"
"68.29","2310","9601","124.67","69","100","Active","Not Active","Not Active","Not Active","Not Active"
"68.6","2280","9601","125.18","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"68.91","2310","9601","124.78","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"69.25","2325","9601","124.75","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"69.55","2325","9601","124.06","70","91","Active","Not Active","Not Active","Not Active","Not Active"
"69.86","2280","9601","124.72","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"70.17","2310","9601","124.67","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"70.49","2325","9601","125.64","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"70.81","2280","9601","125.15","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"71.13","2280","9601","124.9","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"71.44","2310","9601","124.99","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"71.76","2280","9601","125.22","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"72.06","2280","9601","124.84","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"72.38","2295","9601","124.68","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"72.72","2280","9601","124.99","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"73.04","2280","9601","124.67","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"73.35","2295","9601","124.68","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"73.67","2280","9601","125.13","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"73.98","2280","9601","125.04","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"74.31","2325","9601","124.54","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"74.64","2280","9601","125","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"74.96","2280","9601","124.76","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"75.28","2280","9601","124.8","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"75.59","2295","9601","125.07","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"75.91","2265","9601","125.03","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"76.24","2280","9601","124.99","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"76.55","2295","9601","124.98","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"76.88","2280","9601","124.78","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"77.18","2295","9601","124.76","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"77.5","2310","9601","124.86","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"77.81","2280","9601","124.83","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"78.12","2310","9601","124.82","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"78.44","2310","9601","125.03","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"78.74","2295","9601","124.83","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"79.05","2280","9601","124.88","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"79.37","2310","9601","124.9","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"79.68","2280","9601","124.83","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"79.99","2295","9601","124.69","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"80.3","2310","9601","125.07","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"80.61","2280","9601","124.94","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"80.93","2325","9601","124.7","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"81.25","2295","9601","124.89","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"81.57","2280","9601","124.89","70","99","Active","Not Active","Not Active","Not Active","Not Active"
"81.88","2280","9601","124.76","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"82.19","2295","9601","125.02","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"82.51","2280","9601","124.92","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"82.84","2280","9601","124.75","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"83.15","2310","9601","125.2","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"83.46","2280","9601","124.75","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"83.77","2295","9601","124.75","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"84.07","2310","9601","125.09","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"84.4","2280","9601","124.81","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"84.71","2280","9601","124.7","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"85.03","2310","9601","125","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"85.35","2280","9601","124.69","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"85.67","2280","9601","124.85","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"85.99","2295","9601","125.01","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"86.3","2280","9601","124.87","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"86.65","2265","9601","124.86","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"86.96","2310","9601","124.89","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"87.27","2280","9601","124.9","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"87.58","2295","9601","124.82","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"87.91","2280","9601","124.69","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"88.23","2280","9601","124.62","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"88.54","2295","9601","124.65","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"88.86","2310","9601","124.83","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"89.18","2280","9601","124.89","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"89.49","2325","9601","124.15","71","95","Active","Not Active","Not Active","Not Active","Not Active"
"89.79","2310","9601","124.01","71","96","Active","Not Active","Not Active","Not Active","Not Active"
"90.1","2310","9601","125.03","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"90.43","2250","9601","124.67","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"90.75","2310","9601","125.31","70","100","Active","Not Active","Not Active","Not Active","Not Active"
"91.06","2295","9601","125.15","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"91.38","2280","9601","124.51","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"91.7","2340","9601","124.73","72","100","Active","Not Active","Not Active","Not Active","Not Active"
"92.02","2310","9601","125.19","72","100","Active","Not Active","Not Active","Not Active","Not Active"
"92.34","2265","9601","124.67","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"92.68","2310","9601","124.81","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"93","2295","9601","125.06","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"93.31","2280","9601","124.79","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"93.64","2295","9601","124.77","71","99","Active","Not Active","Not Active","Not Active","Not Active"
"93.95","2280","9601","124.92","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"94.27","2280","9601","124.71","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"94.57","2280","9601","124.58","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"94.9","2280","9601","125.15","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"95.23","2310","9601","124.82","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"95.54","2355","9601","124.61","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"95.85","2295","9601","125.1","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"96.17","2310","9601","124.76","72","100","Active","Not Active","Not Active","Not Active","Not Active"
"96.49","2325","9601","124.64","72","100","Active","Not Active","Not Active","Not Active","Not Active"
"96.81","2280","9601","125.03","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"97.13","2310","9601","124.93","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"97.44","2280","9601","124.57","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"97.75","2295","9601","125.18","72","100","Active","Not Active","Not Active","Not Active","Not Active"
"98.06","2280","9601","124.77","72","100","Active","Not Active","Not Active","Not Active","Not Active"
"98.36","2280","9601","124.52","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"98.69","2310","9601","125.1","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"99","2265","9601","124.82","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"99.31","2280","9601","124.85","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"99.63","2280","9601","125.19","72","100","Active","Not Active","Not Active","Not Active","Not Active"
"99.95","2280","9601","124.83","72","100","Active","Not Active","Not Active","Not Active","Not Active"
"100.28","2280","9601","124.78","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"100.58","2310","9601","124.95","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"100.9","2280","9601","124.85","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"101.2","2280","9601","124.74","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"101.52","2325","9601","124.75","72","100","Active","Not Active","Not Active","Not Active","Not Active"
"101.83","2280","9601","124.75","72","100","Active","Not Active","Not Active","Not Active","Not Active"
"102.14","2280","9601","124.76","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"102.47","2310","9601","124.63","71","100","Active","Not Active","Not Active","Not Active","Not Active"
"102.79","2280","9601","125.11","72","100","Active","Not Active","Not Active","Not Active","Not Active"
